comment_phrase,comment_sentiment,clean_text,encoded_label
"සමරන්න ඕනා සරදියෙල්, තව තව මේ රටට අවශ්‍ය වන්නෙත් සරදියෙල්ල, ශූර සරදියෙල්ට මා‍ගේ උපහාරය",POSITIVE,සමරන්න ඕනා සරදියෙල් තව තව මේ රටට අවශ්ය වන්නෙත් සරදියෙල්ල ශූර සරදියෙල්ට මාගේ උපහාරය,2
සරදියල්ව නේද සමරන්න ඕන,NEUTRAL,සරදියල්ව නේද සමරන්න ඕන,1
බලන්නකෝ අපේ පොලිස් කාන්තාවන්. අනේ ඉතින් මේ අපේ පොලිසියනේ...,NEGATIVE,බලන්නකෝ අපේ පොලිස් කාන්තාවන් අනේ ඉතින් මේ අපේ පොලිසියනේ,0
පොලිසියෙන් මරපු අහිංසක මිනිසුන්ව සැමරුවොත් නරකද? හැබියි පාතාපයන්ව නෙමෙයි.,NEUTRAL,පොලිසියෙන් මරපු අහිංසක මිනිසුන්ව සැමරුවොත් නරකද හැබියි පාතාපයන්ව නෙමෙයි,1
නිවන් සුව ඔබට,POSITIVE,නිවන් සුව ඔබට,2
සමරන්න ඕනේ සරදියෙල්වනේ.,NEUTRAL,සමරන්න ඕනේ සරදියෙල්වනේ,1
සුද්දෝ වෙනුවෙන් මැරෙන්න ගිය කෙනෙක්ව ඇයි සමරන්නේ. මේක කව්රුහරි ගොඨාභය මහත්තයට පෙන්නුව නම් එයා වෙනසක් කරයි.,NEGATIVE,සුද්දෝ වෙනුවෙන් මැරෙන්න ගිය කෙනෙක්ව ඇයි සමරන්නේ මේක කව්රුහරි ගොඨාභය මහත්තයට පෙන්නුව නම් එයා වෙනසක් කරයි,0
30 අවුරැද්දක් පුරා රට වෙනුවෙන් දිවි පිදූ පොලිස් නිලධාරීන් අද අමතකද?,NEGATIVE,අවුරැද්දක් පුරා රට වෙනුවෙන් දිවි පිදූ පොලිස් නිලධාරීන් අද අමතකද,0
හිඟන්නන්ට මුදල් දීලා අපි හාඟන්නු වෙන එක විතරයි වෙන්නේ,NEGATIVE,හිඟන්නන්ට මුදල් දීලා අපි හාඟන්නු වෙන එක විතරයි වෙන්නේ,0
අපි කෙනෙකුට යමක් දෙන්නේ යහපත් චේතනාවෙන්. ඉන් යහපත් යමක් කිරීම ලබන්නාගේ වගකීමයි.,POSITIVE,අපි කෙනෙකුට යමක් දෙන්නේ යහපත් චේතනාවෙන් ඉන් යහපත් යමක් කිරීම ලබන්නාගේ වගකීමයි,2
"නියමයි , ලෝබ මුදලාලිට හිඟන්නගෙන් පාඩමක්. තමන් හිඟමනේ ගියාට ලෝබ නෑ කියලා නොකියා ගියා",POSITIVE,නියමයි ලෝබ මුදලාලිට හිඟන්නගෙන් පාඩමක් තමන් හිඟමනේ ගියාට ලෝබ නෑ කියලා නොකියා ගියා,2
අදකාලේ හිගන්නා දුගියෙක් නොවේ. වාහන බැංකු ගිණුම සැප ගෙවල් තියන මුදල් පොලියට දෙන හොඳ දක්ෂ ව්‍යාපාරික කෙනෙකි. මුදල් දෙන මැදපන්තියේ මිනිස්සු හැබෑ හිගන්නෝය. හින්ගන්නන්ගෙන් බදු මුදලක් ගැනීම ළඟදීම සිදුවනු ඇත.,NEUTRAL,අදකාලේ හිගන්නා දුගියෙක් නොවේ වාහන බැංකු ගිණුම සැප ගෙවල් තියන මුදල් පොලියට දෙන හොඳ දක්ෂ ව්යාපාරික කෙනෙකි මුදල් දෙන මැදපන්තියේ මිනිස්සු හැබෑ හිගන්නෝය හින්ගන්නන්ගෙන් බදු මුදලක් ගැනීම ළඟදීම සිදුවනු ඇත,1
ඒ අය නෙමෙයි හිගන්නෝ. දැන් මාසේ පඩියට රස්සාව කරන අපියි හිගන්නෝ.,NEUTRAL,ඒ අය නෙමෙයි හිගන්නෝ දැන් මාසේ පඩියට රස්සාව කරන අපියි හිගන්නෝ,1
ඉතින් මොකද? හිගන්නෝ කියලා එයාලට ආසාවල් නැද්ද?,NEUTRAL,ඉතින් මොකද හිගන්නෝ කියලා එයාලට ආසාවල් නැද්ද,1
තව ටික කාලෙකින් අපිට හිඟාන්නන්ගෙන් සල්ලි අපිට ඉල්ල ගන්න වෙයි වගේ,NEUTRAL,තව ටික කාලෙකින් අපිට හිඟාන්නන්ගෙන් සල්ලි අපිට ඉල්ල ගන්න වෙයි වගේ,1
හිඟාකෑමත් හොඳ රස්සාවක් වෙලා,POSITIVE,හිඟාකෑමත් හොඳ රස්සාවක් වෙලා,2
"හිඟන්නු කියන්නේ සල්ලිකාරයෝ , අපේ මෝඩ මිනිස්සු සල්ලි දෙන එක තමයි වැරදි",NEGATIVE,හිඟන්නු කියන්නේ සල්ලිකාරයෝ අපේ මෝඩ මිනිස්සු සල්ලි දෙන එක තමයි වැරදි,0
හිගාකන එක එයාගෙ රස්සාව. සෙන්ට් නෙමෙයි ඕනෑ දෙයක් ගාන්න එයාලටත් අයිතිය තිබෙනවා.,POSITIVE,හිගාකන එක එයාගෙ රස්සාව සෙන්ට් නෙමෙයි ඕනෑ දෙයක් ගාන්න එයාලටත් අයිතිය තිබෙනවා,2
ඇයි ඒ මිනිස්සුන්ට සුවද විලුවන් අකැපද?,NEUTRAL,ඇයි ඒ මිනිස්සුන්ට සුවද විලුවන් අකැපද,1
සල්ලි තිබුණත් එයාලා හිගන්නොනේ.,NEGATIVE,සල්ලි තිබුණත් එයාලා හිගන්නොනේ,0
ඇයි හිගන්නන්ට සල්ලි නැද්ද? අපි තමයි ලොකුම හිගන්නෝ.,NEUTRAL,ඇයි හිගන්නන්ට සල්ලි නැද්ද අපි තමයි ලොකුම හිගන්නෝ,1
අපේ රටේ තියෙන තත්ත්වය අනුව මෙවැනි දේවල් වහාම පොලිසියට දන්වන්න ඕනෑ කියලයි මට හිතෙන්නේ.,NEGATIVE,අපේ රටේ තියෙන තත්ත්වය අනුව මෙවැනි දේවල් වහාම පොලිසියට දන්වන්න ඕනෑ කියලයි මට හිතෙන්නේ,0
"සල්ලි දීල බැනල වැඩාක් නෑ ,මමනම් දෙන්නෙ බොහොම අහම්බෙන් නොදීම බෑ කියල හිතුනම, ඊට පස්සෙ ඒක අමතක කරනව මිසක් අරූට හිතින් බැන බැන ඉන්නෙ නැහැ",NEUTRAL,සල්ලි දීල බැනල වැඩාක් නෑ මමනම් දෙන්නෙ බොහොම අහම්බෙන් නොදීම බෑ කියල හිතුනම ඊට පස්සෙ ඒක අමතක කරනව මිසක් අරූට හිතින් බැන බැන ඉන්නෙ නැහැ,1
පුදුම පුදුම වැඩ තමයි දැන් සිද්ද වෙන්නේ,NEUTRAL,පුදුම පුදුම වැඩ තමයි දැන් සිද්ද වෙන්නේ,1
මට නිකන් පිස්සු වේගේ,NEUTRAL,මට නිකන් පිස්සු වේගේ,1
සිග්න වෙසින් කවුද ඉන්නේ කියලා කවුද දන්නේ,NEUTRAL,සිග්න වෙසින් කවුද ඉන්නේ කියලා කවුද දන්නේ,1
දුන්න සල්ලි ඉල්ලා ගන්න තිබ්බේ,NEUTRAL,දුන්න සල්ලි ඉල්ලා ගන්න තිබ්බේ,1
"මුදලාලි දන්න තරම, මේ තමයි පිරිසිදු හිගන්නෝ.",POSITIVE,මුදලාලි දන්න තරම මේ තමයි පිරිසිදු හිගන්නෝ,2
"හිගන්නෝ කියලා ඒ මිනිස්සුන්ට කූල් බීම, සුවද විලවුන් පාවිච්චිය අකැපද?",NEUTRAL,හිගන්නෝ කියලා ඒ මිනිස්සුන්ට කූල් බීම සුවද විලවුන් පාවිච්චිය අකැපද,1
ලෝකයේ හැමතැනම ඉන්න හිගන්නෝ ගොඩක් සල්ලිකාරයෝ.,POSITIVE,ලෝකයේ හැමතැනම ඉන්න හිගන්නෝ ගොඩක් සල්ලිකාරයෝ,2
500 කොළේ ඇත්තම එකක්ද?,NEUTRAL,කොළේ ඇත්තම එකක්ද,1
යාචකයෝ 99 % ක්ම බොරුව තමයි දන්නේ,NEGATIVE,යාචකයෝ ක්ම බොරුව තමයි දන්නේ,0
ඉතින් එකේ වැරැද්ද මොකක්ද? සල්ලි හිගාකන්නේ ඒවා වියදම් කරන්නනේ. හිගන්නෝ අපිට වඩා හම්බකරනවා කියන්නේ හූල්ලන්න තරම් දෙයක්ද? එයාලට සල්ලි දෙන්න තරම් හිත හොද මිනිස්සු තාම ඉන්නවා කියලා සතුටු වෙන්න.,POSITIVE,ඉතින් එකේ වැරැද්ද මොකක්ද සල්ලි හිගාකන්නේ ඒවා වියදම් කරන්නනේ හිගන්නෝ අපිට වඩා හම්බකරනවා කියන්නේ හූල්ලන්න තරම් දෙයක්ද එයාලට සල්ලි දෙන්න තරම් හිත හොද මිනිස්සු තාම ඉන්නවා කියලා සතුටු වෙන්න,2
ඔන්න රටකට ගිය කල,NEGATIVE,ඔන්න රටකට ගිය කල,0
සුවද විලවුන් ගන්න වෙන්නැති සිගා කෑවේ,NEUTRAL,සුවද විලවුන් ගන්න වෙන්නැති සිගා කෑවේ,1
සල්ලි දුන්න අපි නේද පරාද,NEGATIVE,සල්ලි දුන්න අපි නේද පරාද,0
සරත්ගේ අදහසට මමත් එකගයි.,POSITIVE,සරත්ගේ අදහසට මමත් එකගයි,2
නවීන පන්නයේ සිගන්නෝ,NEUTRAL,නවීන පන්නයේ සිගන්නෝ,1
එල්ලා මරන්න නියම කරන්න කාගේ උනත් ජීවිතයක්..,NEUTRAL,එල්ලා මරන්න නියම කරන්න කාගේ උනත් ජීවිතයක්,1
මිනී මැරීමට තැත් කිරීම එල්ලුම් ගහ හිමිවන වරදක්... වැරදි කරුවනට දඬුවම් ලැබේවා...!,NEGATIVE,මිනී මැරීමට තැත් කිරීම එල්ලුම් ගහ හිමිවන වරදක් වැරදි කරුවනට දඬුවම් ලැබේවා,0
සිතට දුකක් දැනුනු විට එය නිවාගැනීමට යහපත් මාර්ගයක් තෝරාගන්න. බුද්ධ ධර්මයේ පිහිට පතන්න.. අයහපත් මාර්ගවලින් විසඳීමට ගියවිට සැමදෙනා දුකට පත්වේ...,NEUTRAL,සිතට දුකක් දැනුනු විට එය නිවාගැනීමට යහපත් මාර්ගයක් තෝරාගන්න බුද්ධ ධර්මයේ පිහිට පතන්න අයහපත් මාර්ගවලින් විසඳීමට ගියවිට සැමදෙනා දුකට පත්වේ,1
මේ වැඩේට උපරිම දඩුවම් දෙන්න ඕනේ,NEGATIVE,මේ වැඩේට උපරිම දඩුවම් දෙන්න ඕනේ,0
හිතක් පපුවක් නැති මිනිස්සු,NEGATIVE,හිතක් පපුවක් නැති මිනිස්සු,0
මේ වරදටනම් උපරිම දඩුවම් දෙන්න ඕනේ,NEGATIVE,මේ වරදටනම් උපරිම දඩුවම් දෙන්න ඕනේ,0
මේ පුද්ගලයා වෙදකමට කොහෙත්ම සුදුසු නැහැ. ිනයම වෛද්‍යවරයා බෝසත් ගුණවලින් පිරිපුන් කෙනෙක් විය යුතු නිදා,NEGATIVE,මේ පුද්ගලයා වෙදකමට කොහෙත්ම සුදුසු නැහැ ිනයම වෛද්යවරයා බෝසත් ගුණවලින් පිරිපුන් කෙනෙක් විය යුතු නිදා,0
අනේ මන්දා මෙහෙමත් අජාසත්තලා.,NEGATIVE,අනේ මන්දා මෙහෙමත් අජාසත්තලා,0
ඇයි මිනිස්සු දැන දැන වැරදි කරන්නේ ? කවදා හරි ඇත්ත එළිවේවි.,NEUTRAL,ඇයි මිනිස්සු දැන දැන වැරදි කරන්නේ කවදා හරි ඇත්ත එළිවේවි,1
මේ වගේ දේවල් කරන අයගේ රෙදි ගලවලා උසාවි යවන්න ඕනේ.,NEGATIVE,මේ වගේ දේවල් කරන අයගේ රෙදි ගලවලා උසාවි යවන්න ඕනේ,0
මේ අපේ රටේද ?,NEUTRAL,මේ අපේ රටේද,1
මේවට උපරිම දඩුවම් දෙන්න.,NEGATIVE,මේවට උපරිම දඩුවම් දෙන්න,0
වෛරයෙන් වෛරය නොසන්සිදේ. වැරදි කරුවන්ට නිසි දඩුවම් දෙන්න.,NEUTRAL,වෛරයෙන් වෛරය නොසන්සිදේ වැරදි කරුවන්ට නිසි දඩුවම් දෙන්න,1
දැන් ලංකාව බෞද්ද රටක් කියල හැම කෙනෙන්ක්ටම ඕනෑම දෙයක් කරලා අවරුදු 5 විතර හිරේ දාල නිදහස් කරනවා . මමනම් කියන්නේ මේවගේ වැරදිවලට මේ තුන්දෙනාවත් බස්සන ඕනෙ ඇසිඩ් බැරල් එකකකට පණපිටින්. බොරුවට මුන්ව හිරේ දාල අපේ අදායම් බදු වලින් මුන්ට කන්න දෙන්න හොද නැහැ.,NEGATIVE,දැන් ලංකාව බෞද්ද රටක් කියල හැම කෙනෙන්ක්ටම ඕනෑම දෙයක් කරලා අවරුදු විතර හිරේ දාල නිදහස් කරනවා මමනම් කියන්නේ මේවගේ වැරදිවලට මේ තුන්දෙනාවත් බස්සන ඕනෙ ඇසිඩ් බැරල් එකකකට පණපිටින් බොරුවට මුන්ව හිරේ දාල අපේ අදායම් බදු වලින් මුන්ට කන්න දෙන්න හොද නැහැ,0
මෙයාට නීතියෙන් නැතත් ජනතාවගෙන් දඩුවම් ලැබේවි.,NEUTRAL,මෙයාට නීතියෙන් නැතත් ජනතාවගෙන් දඩුවම් ලැබේවි,1
මේ අයට උපරිමයෙන් දඬුවම් දෙන්න.,NEGATIVE,මේ අයට උපරිමයෙන් දඬුවම් දෙන්න,0
ඇසිඩ් වලින්ම මරණයට පත්කළ යුතුයි.,NEGATIVE,ඇසිඩ් වලින්ම මරණයට පත්කළ යුතුයි,0
බලන්න ලංකාවේ තියෙන සමානාත්මතාවය වෙන කොහේවත් තියෙනවද කියලා?,NEUTRAL,බලන්න ලංකාවේ තියෙන සමානාත්මතාවය වෙන කොහේවත් තියෙනවද කියලා,1
කරන කලට පවු මිහිරිය මී සේ- විදින කලට දුක් දැඩිවෙයි ගිනි සේ...,NEUTRAL,කරන කලට පවු මිහිරිය මී සේ විදින කලට දුක් දැඩිවෙයි ගිනි සේ,1
අයෙක් නසා තම දියුණුව පැතූ මොවුන්ට නීතියෙන් කෙසේවෙතත් ඇතුළේ අයගෙන් නම් නිසි දඩුවම් ලැබෙයි.,NEUTRAL,අයෙක් නසා තම දියුණුව පැතූ මොවුන්ට නීතියෙන් කෙසේවෙතත් ඇතුළේ අයගෙන් නම් නිසි දඩුවම් ලැබෙයි,1
මේ මිනිසුන් මෙවැනි දේවල් කරලා අන්තිමේ මොනවද ලබන්නේ?,NEUTRAL,මේ මිනිසුන් මෙවැනි දේවල් කරලා අන්තිමේ මොනවද ලබන්නේ,1
අපි මේක සෞදියට භාරදෙමු.,NEUTRAL,අපි මේක සෞදියට භාරදෙමු,1
මෙයාලට උපරිම දඩුවම් දෙන්න.,NEGATIVE,මෙයාලට උපරිම දඩුවම් දෙන්න,0
කෝ බොදු බල සේනාව?,NEUTRAL,කෝ බොදු බල සේනාව,1
බුරුලක් දෙන්න එපා,NEGATIVE,බුරුලක් දෙන්න එපා,0
දැන් ලංකාවේ බටහිර වෛද්‍යවරුන්ට වඩා ආයුර්වේද වෛද්‍යවරුන් පිරිහිලා.,NEUTRAL,දැන් ලංකාවේ බටහිර වෛද්යවරුන්ට වඩා ආයුර්වේද වෛද්යවරුන් පිරිහිලා,1
අනික් අයටත් දැන ගන්න උපරිම දඬුවම් දෙන්න ...,NEGATIVE,අනික් අයටත් දැන ගන්න උපරිම දඬුවම් දෙන්න,0
මෙන්න ලංකාව උතුම් යැයි මොරදෙන්නන්ට හොද කණේ පහරක්.,NEGATIVE,මෙන්න ලංකාව උතුම් යැයි මොරදෙන්නන්ට හොද කණේ පහරක්,0
අන් අය දිහා වැරදි විදියට බලන්න ප්‍රථම තමන්ගේ වැරදි හදුනාගන්න මිනිසුනේ.,NEUTRAL,අන් අය දිහා වැරදි විදියට බලන්න ප්රථම තමන්ගේ වැරදි හදුනාගන්න මිනිසුනේ,1
බය නැතිව කරනවානේ මේවා,NEGATIVE,බය නැතිව කරනවානේ මේවා,0
බුරුලක් දෙන්නම එපා,NEGATIVE,බුරුලක් දෙන්නම එපා,0
සුදු වෑන් එකක් එන්න ඕන 3 දෙනාවම අරන් යන්න...,NEGATIVE,සුදු වෑන් එකක් එන්න ඕන දෙනාවම අරන් යන්න,0
දැඩි දඩුවම් දෙන්න,NEGATIVE,දැඩි දඩුවම් දෙන්න,0
"අපේ රටේ කරුමෙට ඉතින් අපිට නැති වෙන්නේ , ශ්‍රේෂ්ට උතුම් මෙලොව සැබෑ දෙවිවරු වන මනෝ වෛද්‍ය හරිස්චන්ද්‍ර වෛද්‍යතුමා වැනි අය තමයි. ඒකටත් එක්ක මේ වගේ අය තාමත් මේ රටේ ඉන්නවනේ? මේ වගේ අය අර වෛද්‍යතුමා වගේ අයටත් කැළලක්.",NEGATIVE,අපේ රටේ කරුමෙට ඉතින් අපිට නැති වෙන්නේ ශ්රේෂ්ට උතුම් මෙලොව සැබෑ දෙවිවරු වන මනෝ වෛද්ය හරිස්චන්ද්ර වෛද්යතුමා වැනි අය තමයි ඒකටත් එක්ක මේ වගේ අය තාමත් මේ රටේ ඉන්නවනේ මේ වගේ අය අර වෛද්යතුමා වගේ අයටත් කැළලක්,0
අපේ රටේ අය මෙවන් දේවල් ලෝකයට හදුන්වා දෙන්න කොච්චර කැපකිරීම කරනවද?,NEUTRAL,අපේ රටේ අය මෙවන් දේවල් ලෝකයට හදුන්වා දෙන්න කොච්චර කැපකිරීම කරනවද,1
මොකක්ද එයාගේ දුරකතන අංකය?,NEUTRAL,මොකක්ද එයාගේ දුරකතන අංකය,1
ලංකාදීපයට ස්තුති මෙවන් ලිපි පල කරනවාට,POSITIVE,ලංකාදීපයට ස්තුති මෙවන් ලිපි පල කරනවාට,2
රත්නෙටුල් ශාකය බලන්ගොඩ රජවක ප්‍රදේශයේ ඇත. අවශ්‍ය නම් ඉහත ලිපිණයට ඊමේල් කරන්න. (janaka@sab.ac.lk),NEUTRAL,රත්නෙටුල් ශාකය බලන්ගොඩ රජවක ප්රදේශයේ ඇත අවශ්ය නම් ඉහත ලිපිණයට ඊමේල් කරන්න janakaaclk,1
දේශීය ආයුර්වේදය කියන්නේ රාවනා රජුගෙන් පැවතදෙන දෙයක්,NEUTRAL,දේශීය ආයුර්වේදය කියන්නේ රාවනා රජුගෙන් පැවතදෙන දෙයක්,1
අපේ රාවනා රජුට පින් සිද්ද වෙන්න තමයි,POSITIVE,අපේ රාවනා රජුට පින් සිද්ද වෙන්න තමයි,2
"ගරු වෛද්‍යතුමනි, ඔබගේ සේවය ලොවට අවශ්‍ය වටිනා සේවයකි. සකල ලෝ ජනයාගේ හිත සුව පිණිස මෙවන් ඉසිවරු රැක ගැනීම කාගේත් යුතුකමයි . ඉතා ඉක්මනින් ඔබතුමන්ලාගේ අගය ලෝකය වටහා ගනීවි . එතෙක් මේ දැනුම ආරක්ෂා කර ගන්න. ඔබට පින්.",POSITIVE,ගරු වෛද්යතුමනි ඔබගේ සේවය ලොවට අවශ්ය වටිනා සේවයකි සකල ලෝ ජනයාගේ හිත සුව පිණිස මෙවන් ඉසිවරු රැක ගැනීම කාගේත් යුතුකමයි ඉතා ඉක්මනින් ඔබතුමන්ලාගේ අගය ලෝකය වටහා ගනීවි එතෙක් මේ දැනුම ආරක්ෂා කර ගන්න ඔබට පින්,2
ඔය වෙදකම කරුණාකර තවත් අයෙකුට උගන්වන්න.,NEUTRAL,ඔය වෙදකම කරුණාකර තවත් අයෙකුට උගන්වන්න,1
මොකක්ද එයාගේ දුරකතන අංකය? කරුණාකරලා කියන්න.,NEUTRAL,මොකක්ද එයාගේ දුරකතන අංකය කරුණාකරලා කියන්න,1
අපේ දේ අපි රැක ගත යුතුයි,NEUTRAL,අපේ දේ අපි රැක ගත යුතුයි,1
අපිට ඔබතුමාගේ දුරකතන අංකය දෙන්නකෝ.,NEUTRAL,අපිට ඔබතුමාගේ දුරකතන අංකය දෙන්නකෝ,1
ඉතාමත් වටිනා ලිපියක්,POSITIVE,ඉතාමත් වටිනා ලිපියක්,2
මෙය ඉතා වැදගත් ලිපියක්. ලංකාදීපයට ස්තූතියි,POSITIVE,මෙය ඉතා වැදගත් ලිපියක් ලංකාදීපයට ස්තූතියි,2
හොඳ ප්‍රවෘත්තියක් මම උදව් කරනවා ඔහුට,POSITIVE,හොඳ ප්රවෘත්තියක් මම උදව් කරනවා ඔහුට,2
කරුණාකර වෙද මහතාගේ දුරකතන අංකය සොයාදෙන්න.,NEUTRAL,කරුණාකර වෙද මහතාගේ දුරකතන අංකය සොයාදෙන්න,1
වෙද මහත්තයාගේ දුරකතන අංකය දෙන්න බැරිද?,NEUTRAL,වෙද මහත්තයාගේ දුරකතන අංකය දෙන්න බැරිද,1
රටක් වටින වෙද මහතෙක්. දීර්ඝායු වේවා!,POSITIVE,රටක් වටින වෙද මහතෙක් දීර්ඝායු වේවා,2
මෙවන් වෙද දෙවිවරුන්ට රාජ්‍ය අනුග්‍රහයවත් දීලා රැකගන්න උත්සාහ කරන්න ඕනෑ. ඔබතුමාට දීර්ඝායුෂ..!!!!,POSITIVE,මෙවන් වෙද දෙවිවරුන්ට රාජ්ය අනුග්රහයවත් දීලා රැකගන්න උත්සාහ කරන්න ඕනෑ ඔබතුමාට දීර්ඝායුෂ,2
මට කරුණාකර ඔහුගේ දුරකතන අංකය හෝ ලිපිනය එවන්න.,NEUTRAL,මට කරුණාකර ඔහුගේ දුරකතන අංකය හෝ ලිපිනය එවන්න,1
මත්තල ගැන මෙහෙම දැනුවත් කරනවට ලංකාදීපයට ස්තූතියි.,POSITIVE,මත්තල ගැන මෙහෙම දැනුවත් කරනවට ලංකාදීපයට ස්තූතියි,2
